"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"2-(3'-methylthio)propylmalate","65878180.1059374","62482087.1096125","63968143.2591974","65076349.6202463","66532645.8257987","65746958.6752807"
"2-(Hydrazinocarbothioyl)hydrazinecarboxamide","4712264.2740208","2894968.95198154","2891320.01003546","3248517.53111042","3412389.97117099","4638749.48267466"
"2-[(DIOCTYLCARBAMOYL)METHOXY]ACETIC ACID","295879.921809583","295957.755403314","333533.609448696","571051.238826369","581785.192703104","537621.659662634"
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol","483918.03125516","527899.209434147","735073.959138528","2480587.62363089","2528814.0149302","2615677.4033615"
"2-Cyclododecyl-1-(4-morpholinyl)ethanone","118767.503364236","114997.133834318","139068.656211788","430877.627556213","436689.430896183","359286.69865943"
"2-Methyl-2-propanyl 4-[(4-{[3-(dimethylamino)-2,2-dimethylpropyl]carbamoyl}-1-piperidinyl)carbonyl]-1-piperidinecarboxylate","1397392.62080381","1230491.07879214","1242176.0754815","658390.658955088","658648.845111312","608208.19835262"
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate","351354.715334833","288382.387701073","236546.75168266","4562525.07158051","3520116.73534367","3315528.96954302"
"2-Oxooctadecanoicacid","2187487.8092971","1564042.28116046","2920506.29290753","686504.343154029","1012481.11938777","1010162.40062929"
"2(alpha-D-Mannosyl)-D-glycerate","242285.353040154","183914.660209013","246154.898146722","524556.741131201","609528.522881098","632852.050762931"
"2,10-dimethyl 4-hydroxy-6-oxo-4-undecen-7-yne","445254.516669946","296630.809114737","443717.164110633","256520.608567673","429328.32927751","187604.994208646"
"2,3-Dibromothianaphthene","210240.330068143","138604.978508878","231553.949436727","573888.039779833","510449.278841744","474088.016730263"
"2,3-Dinor-11β-prostaglandin F2α","973486.578723572","1414426.94642265","1016256.57590257","1518024.36361727","1010738.02987184","840766.88285499"
"2,6-di-tert-butyl-4-ethylphenol","762896.674606844","659923.157059521","922782.583811637","722786.596520462","886831.565065951","802229.236518692"
"3-(1-Boc-4-piperidyl)-1-propanol","3116410.72838766","4333696.90980239","6207261.29090123","5927433.86313412","8721896.04106697","6503779.49074629"
"3-(2-CHLOROETHYL)-2,4(1H,3H)-QUINAZOLINEDIONE","1028797.0030422","1006521.04499163","977706.267436685","1300477.80686189","1328334.57041854","1383165.87215147"
"3-amino-4,5,6-trihydroxy-2-methoxy-5-methyl-2-cyclohexen-1-one","4826385.04706024","7124667.16757543","9059620.32176016","14912528.1866999","15854268.2978739","17966941.3971565"
"3-Dehydrocarnitine","423813.188318226","494119.05338265","616611.487141329","6621171.688219","5389634.89960538","5420032.49285581"
"3-Dehydroxycarnitine","6430383.88968337","5164922.76800369","6747275.19405742","6737353.30563217","6860327.92588219","7017564.28848213"
"3-hydroxy-2-methyl-1H-quinolin-4-one","1146825.10367014","980038.708091068","1244666.57535805","537456.423293083","664635.424896224","647250.530349992"
"3-Hydroxyaminophenol","1369963.82761817","1273387.76812306","1437383.13137172","745458.692433094","817837.098221378","660347.443922793"
"3,11-dihydroxy-6,8-dimethyldodecanoic acid","205199.007288398","166837.780647102","284364.46080611","508156.720313049","570294.210119767","414264.115041418"
"3,5-Difluoro-4-(tributylstannyl)pyridine","541905.337078141","548293.930718616","552835.88216855","609551.432617185","548087.864117544","547614.198586053"
"4'-ethyl-1,1'-bi(cyclohexyl)-4-one","526839.031259315","448107.130714184","593153.804643771","387857.01654726","558795.53041954","566837.224776536"
"4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole","3158373.245088","3075748.56020397","3040476.7825676","3034772.64067012","2949590.76648451","3016976.35744393"
"4-Amino-2-[bis(2-methoxyethyl)amino]butanoic acid","3317611.60623618","2710588.50023425","2940643.5399724","5165442.22257996","4412694.82095397","5386060.74885197"
"4-Cyanotetrafluoropyridine","345021.458780321","4310864.40797402","1952918.30506831","2383461.25460327","2046085.76653795","5923583.43265726"
"4-Guanidinobutanoate","437400.625571233","249507.075170252","343131.219405404","147339.47587981","237077.414638813","62590.1164659781"
"4-Heptyloxyaniline","485251.795252828","330209.721451898","494461.326551502","921274.75909017","1451553.15138739","702720.451152141"
"4-Nonanoylmorpholine","1763993.49054803","1216459.43271492","1996319.93481431","2381123.06684754","3950858.60521794","1775077.62329726"
"5-Guanidino-2-oxopentanoate","11007600.7490567","5958461.34276915","9501775.22709909","1348816.49060194","2200927.70971402","2332760.23396738"
"5-Methyl-N,N'-bis[1-([1,2,4]triazolo[4,3-a]pyridin-3-yl)ethyl]-2,4-pyrimidinediamine","187206.585762237","113528.944860051","230547.098394749","194820.928503132","289839.283019278","265624.755457772"
"5,8,11,14-Tetraoxa-2-azaheptadecan-17-oic acid","532779.882756986","432617.048284885","446683.460876014","320977.922124289","391216.370569417","369625.473284571"
"6-heptyl-2H-pyran-2-one","188369.255623997","191069.370000357","267205.626150757","464168.079505192","446825.175447161","491858.17345636"
