"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one","342061.007114459","344727.409140085","338975.809516527","375683.348738495","380301.028742068","345222.987249105"
"10_16-Dihydroxyhexadecanoicacid","387731.622735109","454218.476995947","286207.264093096","1376330.77912088","997488.712624685","1671805.99269727"
"10E,14Z)-9-oxooctadeca-10,14-dien-12-ynoic acid","448826.977185731","557726.879325266","509270.514152647","524273.782575033","511456.001257874","573307.76251337"
"11-(4-Hydroxybutoxy)undecanehydrazide","240626.087529333","301152.716842609","83404.3620148579","104477.50997126","166269.933359881","224330.271252595"
"12-Aminolauric Acid","127013.859988834","115641.779694021","128019.862999531","139209.105554918","74054.8746657224","130448.769438564"
"13-Decyl-1,4,7,10-tetraoxa-13-azacyclopentadecane","234157.946858865","339381.850877178","284027.05540433","575562.584040767","427911.322381898","535649.519990719"
"17a-Estradiol","996199.194551802","1287912.18564714","804564.071492012","792913.287138283","1177846.99100796","779071.12946135"
"2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid","1322985.29617366","2952882.13110606","976336.348291339","688293.071869134","422482.445039707","585776.418239536"
"2-(2-Thienyl)piperidine","131404.944322586","524139.914806096","228154.211041495","328973.491137995","182303.80183962","252980.599328654"
"2-(2,4-Dimethoxyphenyl)-N-(4-{[(4-methylphenyl)sulfonyl]amino}phenyl)-4-quinolinecarboxamide","779686.099323327","759578.580666925","744245.878033966","817363.511635398","789374.736836859","774690.487166384"
"2-(3'-methylthio)propylmalate","65477056.3023305","64065431.8383313","64478463.5057313","65878180.1059374","62482087.1096125","63968143.2591974"
"2-(4-aminophenylthio)acetic acid","3337217.77117957","3752338.67576239","3228913.06960361","4091815.08189044","3001926.95649325","5115359.79712368"
"2-(Hydrazinocarbothioyl)hydrazinecarboxamide","4788431.92698428","3755378.56932353","5685488.54212914","4712264.2740208","2894968.95198154","2891320.01003546"
"2-[(DIOCTYLCARBAMOYL)METHOXY]ACETIC ACID","486477.689199412","574825.815251523","456690.354917916","295879.921809583","295957.755403314","333533.609448696"
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol","205992.127418195","236566.518701059","291056.75242948","483918.03125516","527899.209434147","735073.959138528"
"2-coumarate","266486.632449951","380100.081794162","236909.790756858","354929.284798552","241272.949387532","289461.946616484"
"2-Methyl-2-propanyl [(14-amino-3,6,9,12-tetraoxatetradec-1-yl)oxy]carbamate","1048998.31945368","1360662.63235494","923845.662764814","483876.335215433","634448.799895147","442355.192418394"
"2-methyl-2,4-hexadiene","533719.405924797","745471.231018975","617766.659641838","1016742.49338549","649339.201625061","1324994.42667455"
"2-Methylserine","1065824.18541334","906602.637341162","846330.036474585","1037881.41107811","692273.354690098","887611.630550059"
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate","445746.549352202","830710.058644629","453080.834239849","351354.715334833","288382.387701073","236546.75168266"
"2-Oxooctadecanoicacid","1218641.88860087","3648111.579966","1407253.08920256","2187487.8092971","1564042.28116046","2920506.29290753"
"2,10-dimethyl 4-hydroxy-6-oxo-4-undecen-7-yne","923071.987376216","1163218.68447635","150023.615155505","445254.516669946","296630.809114737","443717.164110633"
"2,3-Dibromothianaphthene","346045.33929922","632598.936678551","229429.253503096","210240.330068143","138604.978508878","231553.949436727"
"2,3-Dinor-11β-prostaglandin F2α","1168049.208069","1483621.80647936","965736.153530939","973486.578723572","1414426.94642265","1016256.57590257"
"2,6-di-tert-butyl-4-ethylphenol","518358.171003167","604856.284194418","447994.753445197","762896.674606844","659923.157059521","922782.583811637"
"3-(1-Boc-4-piperidyl)-1-propanol","7080465.64874107","10314585.6651189","1971827.85919078","3116410.72838766","4333696.90980239","6207261.29090123"
"3-(1H-Tetrazol-1-yl)benzohydrazide","1507360.94802616","1492702.95463016","1737064.17288218","1474471.60970889","1659450.49768929","1410455.34919822"
"3-(2-CHLOROETHYL)-2,4(1H,3H)-QUINAZOLINEDIONE","322175.894079795","372900.889686988","390738.866583479","1028797.0030422","1006521.04499163","977706.267436685"
"3-amino-4,5,6-trihydroxy-2-methoxy-5-methyl-2-cyclohexen-1-one","19029668.6254458","12619565.8318169","17637964.081255","4826385.04706024","7124667.16757543","9059620.32176016"
"3-Dehydroxycarnitine","8313172.67838223","15906785.6040217","8307814.84130674","6430383.88968337","5164922.76800369","6747275.19405742"
"3-hydroxy-2-methyl-1H-quinolin-4-one","1152880.70267753","1660912.0962841","1146365.07024152","1146825.10367014","980038.708091068","1244666.57535805"
"3-Hydroxyaminophenol","890571.483520476","1219881.86340357","1048749.55911915","1369963.82761817","1273387.76812306","1437383.13137172"
"3-Methoxytyramine","139768.169991843","275644.040585763","158024.795866763","191611.594659106","210013.191646635","183357.815787384"
"3,5-BIS(TRIFLUOROMETHYL)-1-PHENYLPYRAZOLE","2226438.45751828","2075630.33211184","2071382.67358576","2312714.47321984","2142167.79719719","2175848.65318622"
"3,5-Difluoro-4-(tributylstannyl)pyridine","589962.03913112","589430.908157929","599471.530355412","541905.337078141","548293.930718616","552835.88216855"
"4'-ethyl-1,1'-bi(cyclohexyl)-4-one","379884.217265362","477499.75419153","394561.392557304","526839.031259315","448107.130714184","593153.804643771"
"4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole","3253711.28039674","3181654.31111092","3340389.3095481","3158373.245088","3075748.56020397","3040476.7825676"
"4-{[1,3-Dihydroxy-2-(hydroxymethyl)-2-propanyl]amino}-1-butanesulfonic acid","318103.275951649","333779.190603956","327565.649290018","318661.419618426","340679.265530681","302679.432611636"
