"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"C5H12N6O4P2","273750.929057623","283569.750743052","255152.46267684","271806.080210618","294980.69633229","272240.476894095","290956.608666142","304149.469196783","295946.814756249","272444.585219453","309475.25930059","271751.048365818","281031.297366211","312730.365760985","293373.409961639","273474.661776346","291185.323375399","269385.927910277"
"C5H13N5OS2","1551945.67738487","1485344.47134425","1480175.82460828","1528125.9595053","1589378.72798908","1428595.44968391","1540031.64264201","1547169.98264407","1528185.85036012","1041211.74737783","1031196.02151597","1119192.44443916","1223168.7750552","1136386.90598102","1081252.34914454","1093413.07315311","1033358.30572789","1070075.28963168"
"C5H15N8O6P","526182.040775589","504916.799914595","464401.481524042","589071.965328216","652176.71201483","517717.125959878","579414.628269718","529904.638471749","575942.580807936","441845.460881419","463985.732774251","515945.799825326","516520.966612752","590683.718984674","509179.756280127","570383.5809342","557626.266059799","605345.568769697"
"C5H18N6O13","610057.232269931","572389.061354518","522386.411901605","595056.704741218","584461.546772838","499200.623408745","565622.24484086","501405.919218444","630896.482135857","552960.346725155","661841.528428151","673830.449148596","638319.01268495","585416.587329267","561218.173303711","518013.814894178","616639.051691439","536619.86540024"
"C5H7NO5P2","424048.108598738","1120892.41935541","3664313.12183612","956868.477475165","512027.212994115","946662.591503283","1148553.17078596","922164.055471373","1030969.74018311","1132880.10222899","1144550.44233078","356428.970928349","1230657.19066883","834874.144307393","471102.730110321","458442.608750089","460946.112075076","3397377.54200197"
"C5H9ClN8O4","267553.374030357","199175.473944137","222136.974158254","268542.418481313","80336.6420177278","49037.1444477508","317566.071838909","110633.975666151","146974.905439786","197305.490330534","219342.728157447","136456.899615749","224627.115233725","235608.219973202","96609.0713492885","238857.044099645","194080.468895141","282218.530891006"
"C6H11N4O4P","79670.4128063354","64790.9520401038","75963.8728021523","3084.61958732767","4093.18174138091","5434.17903759345","3028.05714834751","2888.8962884558","7281.24811035651","134840.710948686","82841.6251355469","92146.5587442337","4896.94448091294","5766.18078456351","7262.2560611087","4056.13645351537","4468.62582350832","3501.43458535296"
"C6H12ClN2O5P","3054517.22131477","2939546.09318154","3180956.18114507","2988197.50277409","3298754.53737524","3392079.37622879","3329030.40278124","1016681.7158686","3272033.44410701","3461366.23347912","3416726.11688653","3429233.51335786","3168737.14543415","3397413.06693934","3454628.13539897","3360033.94312451","3199216.56090572","3254160.58777975"
"C6H14N3O2PS","209466.006687211","200442.222403292","224239.836787891","214171.089349194","210859.624630521","231687.190704518","262616.746516763","203940.25061763","203916.376335142","247773.596711463","238173.998313609","260840.446423014","226621.756871115","228553.206884675","236400.307878822","244814.935106463","221220.626336228","212955.365212132"
"C6H16N3P3","1068930.90311838","1009707.10321537","1146268.17517176","1056509.98091185","1147828.20780418","1055275.41918671","1103640.96554079","1038926.18324172","1190798.82139661","1451487.41991661","1475744.50565655","1545798.71527186","1548001.79665454","1582724.21703214","1471429.94749755","1450588.43207997","1555450.20617117","1527599.96218874"
"C6H16N6O4P2","680826.977737184","696656.180759882","716858.106268337","760142.043254046","712797.694508976","678492.244441637","753884.137756987","699547.996304338","740318.649552271","3489000.89286248","3496919.69042853","3649638.95766158","3550837.64312473","3630295.26423249","3371656.17830369","3489868.07982475","3393114.26284806","3382397.09548655"
"C6H21N7O5P2","366827.993157886","378847.122664072","343157.016246796","384927.767276025","381965.523820367","357561.364098591","365162.879540933","332689.819449188","366740.121338637","367774.908707276","365139.529003289","355400.492109627","342146.026711243","377533.291941247","371411.849117719","356928.282042241","355840.065287384","382729.893969094"
"C7H10N6O10","69030.4269078838","55458.5456702113","71391.627920715","65556.396081855","38720.4049583811","63259.1247171542","73647.8054991136","67406.7769046309","86023.0790004683","19254.766747835","22190.3985816092","26377.7340593254","34222.3677417501","35351.6318759477","44299.4109702283","31200.0689102207","38785.5622965255","31728.7371225211"
"C7H13N2O7P","814264.823997892","1933954.16559972","2130635.4113537","1139152.42658544","2821573.16193919","2532936.8310979","2476986.33294392","2794086.21197775","2921239.45624171","1916243.57854576","1806682.93187864","1355713.22450419","1297727.15956924","1185246.1730633","458474.269852088","1425915.36206517","402492.329657666","816744.758552614"
"C7H16ClN2PS2","429918.633886092","453908.697388966","443752.093555287","404645.362636169","345127.38681578","446091.910645118","440987.929185762","516503.233357051","474911.568413462","310961.752883044","451083.048313915","487940.378638717","467186.098901802","457029.438919724","306671.795846773","438403.190138605","288656.005301862","390132.211703229"
"C7H3N","42606.2335185903","147316.357110626","194184.390446991","50841.9918500091","630803.45880605","302981.017850673","181194.314633468","176528.595529296","221780.296686992","361595.965637057","205376.149704567","74492.4482394874","67246.6870944855","68374.6488925616","18074.9003455415","97753.2453684117","19214.6334984418","36232.8511504723"
"C7H7N6OP","99848.9005569422","168721.856573291","172603.831427078","110700.186898781","134387.78045871","180023.261835165","187753.519622259","198513.755072439","185129.891777934","138914.462103752","139039.446808329","120919.240603224","116563.213556945","114732.743276291","59688.1720211325","117027.255350647","61519.7403642161","92105.933416617"
"C8H11N2OP","19794.8854431177","18671.5483122955","24197.6632040766","28167.3887004642","26323.0522265531","33439.4861536541","32829.0149795119","32233.9204031053","39934.1502448913","62516.7532376857","20541.5300427602","27146.8182027427","73860.1427645915","102528.995605053","74110.1686760497","44242.0399743633","89664.8889147998","41436.648095491"
"C8H23ClN3O2P3","233037.513766843","244149.428806702","241669.743549946","233228.876183992","259251.042782793","238714.194931449","240495.97728451","266808.722756291","242817.201951913","251815.760563488","270465.163579922","257180.609986298","248319.991914788","272178.190463592","250583.39219387","244989.496354664","250418.154946882","254737.259811733"
