"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"1-{5-[(4-methoxyphenyl)carbamoyl]-1,3,4-thiadiazole-2-carbonyl}piperidine-3-carboxylic acid","1137921.87903556","1231765.02557975","1245178.31016091","1220752.73319423","1168722.84506459","1138627.82289091"
"1-Cyclooctyl-4-phenyl-1-butanone","425462.899535018","633868.196823478","417561.489990251","560924.281101718","476326.991670528","435635.484550129"
"1-deoxynojirimycin","1438398.66748816","1403902.79139804","1134348.97334147","2757169.21672616","2556830.65664185","2633013.59352645"
"1-Methylpyrrolinium","638013.491241498","1217890.03529286","918218.689413165","354744.58779781","335315.287318301","784269.059056904"
"1-O-Tetradecanoyl-D-glucitol","910974.672357796","924488.240674698","722444.4938346","681014.562136222","891522.509301881","781311.097378446"
"1-palmitoylglycerol;MAG(16:0)","2100734.49070367","2634252.70773505","1672521.45318725","675414.40577615","1770546.3531415","1552651.33459188"
"1(2H)-Isoquinolinone","584613.625942994","5178047.94508427","3445365.10493584","802329.117636812","1334137.2210012","1050537.77197012"
"1,1'-(1,4-Phenylene)bis{3-[2-(dimethylamino)ethyl]urea}","2134240.91114957","2006288.95535747","1878992.01360385","1883553.26290959","2132501.13098393","1927439.05376147"
"1,3,5-Heptatriene","3804737.88777514","4136273.51987789","2172280.95578784","6000786.2351163","4999982.52082853","4654896.03850346"
"1,3,6-Octatriene","56483285.3332912","62098904.6879038","63621397.4840593","71727772.3162224","61624673.4723749","66332544.2963469"
"1_2_4-Trimethylbenzene","2423657.35553599","2890107.44696409","1959012.72830078","2425844.50927032","2646035.79269564","2111241.58747913"
"1_5-Anhydro-D-mannitol","513462.114374505","1013892.56087142","613755.64043661","781182.132606046","597976.785043463","668143.075764442"
"1_6_6-Trimethyl-2_7-dioxabicyclo[3.2.2]nonan-3-one","2302053.25046634","2655560.81075492","1797848.25342073","2558211.88644974","2446868.22386892","2259784.60237251"
"10-hydroxydecanoicacid","84111.2952340548","121162.108194915","81012.3178027694","183287.653757548","177386.143602178","219581.192677927"
"10-Methyldodecan-4-olide","600558.177777673","667553.540699855","522283.805942141","1288583.34208523","1395699.76811957","1283857.20943946"
"10_16-Dihydroxyhexadecanoicacid","207549.130227834","152527.224470775","97950.1083562934","511170.060951329","646648.7214793","496044.83120294"
"11-cis-Retinol","146833.453916207","177936.17292178","141941.056446893","263300.554334964","308375.368782999","294502.516657571"
"13-Decyl-1,4,7,10-tetraoxa-13-azacyclopentadecane","474513.041986117","501266.078604513","459713.465648429","387322.016055009","437491.383490082","420473.416257054"
