"name","area_2_1_15_J17_noOTA","area_2_2_15_J17_noOTA","area_2_3_15_J17_noOTA","area_2_1_15_J25_noOTA","area_2_2_15_J25_noOTA","area_2_3_15_J25_noOTA","area_10_1_15_J17_OTA","area_10_2_15_J17_OTA","area_10_3_15_J17_OTA","area_10_1_15_J25_OTA","area_10_2_15_J25_OTA","area_10_3_15_J25_OTA"
"group","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA"
"(3R,4S,bR)-3,4,4a,5,6,7-Hexahydro-4,8-dihidroxy-3-methyl-1H-2-benzopyran-1-one","7514.90071748157","11537.0867946841","4547.87937498335","121873.008935498","132227.770959864","95910.8393717291","46336.0153186101","34983.7100757375","45570.4331285459","75013.9956750097","53401.6392160094","45541.3864881178"
"(3S)-3_6-Diaminohexanoate","271421.177680076","88856.4031260339","68731.8651599219","84910.3903243706","62166.9148250147","462309.610871743","3255465.32379452","82829.7907032656","112311.789754708","83429.1173355324","43630.9250481971","132339.076011438"
"(4E)-2-Oxohexenoicacid","17269160.6630015","12791508.6627834","11926957.1501478","67155760.3352083","55966686.235995","40865676.4114019","140130493.909485","166993603.099847","140495209.234715","80021057.6586769","79794885.3235453","99903274.5313338"
"(4S)-4,8,10-trihydroxy-10-methyldodec-2-en-1,4-olide","42363.5182407269","53213.3234012387","32297.6162113581","13935.8454647456","17161.2047736196","3168.65256852477","491237.558311566","697968.886096059","461793.531355324","193854.033996429","155405.370684397","75776.4122535479"
"(6alpha,11beta)-11,17-Dihydroxy-6-methyl-3,20-dioxopregna-1,4-dien-21-yl N-{[(2-methyl-2-propanyl)oxy]carbonyl}glycinate","552274.029443179","528262.315291278","704127.565243688","576202.316273862","473680.903198476","423091.225208011","885675.509866504","459242.579917824","657362.25702929","1233240.50075191","1262363.8269463","1003849.54183733"
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one","3489446.74894366","3407606.71423635","2631501.59916879","671553.458326144","780049.479412212","745279.370922969","147539.745920239","68632.9440153968","90465.0880391014","350983.319884896","111506.926507739","548434.658883599"
"(7S_8S)-DiHODE","22761960.7636302","19399293.9961773","16378923.2541635","3641823.41189364","4005634.22170709","3760158.71857811","3515255.59011183","3237207.28961758","3147611.52447756","6915467.96880251","2973289.48952647","15541890.2181073"
"(9E,11Z)-13-Oxo-9,11-octadecadienoic acid","4840259.14399484","4408149.33619081","3123398.05603053","847582.208906694","796756.287665408","417775.025727873","368368.948778489","326437.139578347","365338.356253573","1170189.93075297","301736.56815462","1934803.17597168"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","162974642.740166","172043561.293059","123571397.790808","25683236.4688512","21630719.9001675","20521019.2735184","19258020.4019861","15290713.1716275","16014696.0448899","32618025.0925659","13874781.193","54400493.3503813"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","27865723.4857834","29217621.1650814","16948676.3985698","5055152.50926299","8199521.37201479","7157525.21201223","3711071.80201822","3206378.33690058","2852063.39455697","7322497.77086238","2872114.6509521","9076932.30326499"
"(R)-2-Hydroxyglutarate","51282254.7917731","50248385.7832096","49501396.7345313","51897737.7946652","49338081.1489746","61423890.9446107","63775564.0275072","63685937.1441638","61941891.2554431","62139374.9386035","64239572.4672118","72658363.749279"
"(R)-2_3-Dihydroxy-3-methylbutanoate","621684.398806377","491341.448290365","462546.103416689","582516.294793301","631773.313630861","729872.38731655","16293854.3607681","20582518.774024","15400289.3716609","18447456.5667213","25240588.8216498","27337575.0201793"
"(R)-2_3-Dihydroxy-3-methylpentanoate","789109.1369599","437887.066904363","629478.76086339","658968.43580517","535182.570369986","599720.204210618","504513.689055526","568749.95906681","577156.433989308","1027647.71973654","547635.615794647","955886.547909823"
"(R)-3-Amino-2-methylpropanoate","5785505.47313705","3513390.10910789","3154065.7567629","4410894.33149092","4056663.37267528","4387016.68011172","1559279.05739043","1305099.13319203","2193557.89956618","1846670.88519235","219172.155380664","275503.664186754"
"(R)-3-Hydroxybutanoate","1056246.34648009","852315.384209376","904882.094967919","141759.746933381","269070.085262367","317951.196753568","15805260.6447347","16548721.396361","13547801.5095732","3352804.07711324","3580334.31995749","4826394.6844453"
"(R)-4-Dehydropantoate","6218522.58602994","5568112.52891308","3592102.10620405","11283006.7542893","10143890.0352289","8358032.33220137","29825470.266693","59877251.8599954","35138333.2458923","20100072.6487364","16107817.4329897","20843768.297618"
"(R)-Malate","848228.19397847","719197.044750611","631913.573191969","281533.006339077","267448.56185151","560005.588066926","1844507.00686337","1984371.15250577","1704408.09213704","720676.762357182","380077.026038812","335743.40311694"
"(R)-Pantolactone","1174918.88817934","1305647.05543145","1028038.14636596","156948.12881135","1212953.25844749","1031832.0088578","874746.474403927","467734.117244246","991971.207462671","727386.678881507","809853.136272859","1304917.89467387"
"(R)-Prunasin","2428.43375820127","2411.94593938223","2462.24906084621","2442.20418944432","2461.07489859473","2406.17282606091","213567.541145683","171235.709519002","120526.743727495","364005.829593293","738987.068063719","753290.671608959"
"(R_R)-Tartaricacid","1412258.67512092","1630356.2541225","1324512.91246524","260461.907437314","1364559.96465345","1386397.20372659","1786329.17418535","1789297.97375442","1793511.97186595","1749126.67694675","1287110.24332157","2003007.96104084"
"(S)-2-Acetolactate","61788.887654639","699010.711785327","49842.2916462154","119857.879879673","204591.825470743","83732.1610384112","230763.655257626","95026.1513820471","334178.230734768","230974.701040346","296499.302210551","183969.054895313"
"(S)-4-Amino-5-oxopentanoate","1702359.54129465","2491766.22026023","3394183.76516133","437579.514576682","363662.696603777","359142.70085104","815826.780407676","959807.850120789","828353.161020702","516077.589394963","806318.124086141","470773.934259088"
"(S)-Carnitine","28953060.4986551","31372316.7984885","25831707.2302101","24508334.7319119","21276135.4158865","23013097.2488693","26224712.3825792","39099582.7135081","33298975.751874","32339097.9001497","20177779.2163325","16379313.3056522"
"(S)-Malic acid-1-O-beta-D-glucopyranoside","20693655.5577845","21898382.7189025","20988868.8115895","22738618.5846161","23610968.1151569","21800616.2994522","21218424.0728453","20906985.8464172","20987249.56261","20898077.390408","21951614.6112666","20712381.6354833"
"(S,S)-Anacine","41715.7766770175","15401.8028262785","11040.1793054552","9885.81729427251","7494.35877949731","6409.05166319882","162267127.465168","118740883.114272","118248851.071365","68397818.7887569","82762678.2465755","222731180.648649"
"(Z)-2-(5-oxohexyl)pent-2-enedioic acid","809600.912701","791558.96331051","563436.049337606","324234.391439314","462732.806589587","339514.561516846","2840518.54730026","2971567.36758597","3147110.16093278","1213025.57800107","1619074.22054314","873192.04183805"
"(Z)-N-16-hydroxyhexadec-9-enoyl-L-alanine methyl ester","1114391.04182498","1142449.23722582","691277.01516627","463819.40590763","513456.722075401","452540.9833182","114922.911778701","75570.2459693555","74448.8147533643","196180.483385446","90941.2936823249","268705.085019536"
"?,?'-diglycerol","2846197.87184716","2467820.58485889","2899192.53153129","1856434.29166095","1796078.66569747","1852108.92782028","1627733.99449661","2135182.40647649","1952536.73453978","2447321.27343047","3153593.35753051","1875715.84942454"
"[FA(18:0)]12R_13S-epoxy-9Z-octadecenoicacid","40654558.5022997","30967388.0570679","28340823.9592137","17388324.2895922","11435448.9048247","11947750.7300362","3056926.78990999","2786718.60843423","2968068.7084828","6026310.5515834","3834428.67539096","14163781.0207701"
"[FA(18:1)]9Z-Octadecen-12-ynoicacid","132658138.358867","120678346.471532","105641771.827966","18753394.3433906","24640747.467939","25339937.1707679","26894490.7190324","19935805.458875","17955439.3365179","31440531.3392578","20528594.9170231","68155384.429048"
"[FA(18:2)]9Z_11E-octadecadienoicacid","1000297.33743557","1993147.56329277","2754771.59708519","1704202.84966343","1623223.33638545","1601212.63862276","1755265.23839339","812706.729377535","1625810.85333384","2248681.13045217","1993407.12764214","2727340.42184515"
"[FA(18:3)]13S-hydroperoxy-9Z_11E_14Z-octadecatrienoicacid","22357479.9106644","25481661.4599513","15943515.9342686","3440337.94368471","5733206.10189159","4442233.60326854","2529668.83918875","2291024.99786925","1810483.12772387","5104736.7048657","2447257.50034937","8446080.06436735"
"[FA(18:4)]6Z_9Z_12Z_15Z-octadecatetraenoicacid","109519287.434692","115370144.639681","75117303.8936983","45144288.3239227","35011803.4569227","34451217.8299125","27500564.2259587","25594116.9626872","19737696.6312772","48887310.9407671","21602621.4813867","42773474.8859887"
"[FAhydroxy(18:0)]12_13-dihydroxy-9Z-octadecenoicacid","2259343.00274731","2047036.37457838","1545023.33437377","1469706.74108526","966125.896806625","824075.158182206","772664.372245942","766527.67567872","612318.800755682","2954922.85498312","1407102.83448692","11648805.0427894"
"[FAhydroxy(4:0)]N-(3S-hydroxy-butanoyl)-homoserinelactone","200756.637266081","172961.574052653","164715.228668177","184654.224109897","203934.592382826","151031.168649882","199412.680569487","110973.562156712","173244.590727011","175628.853918154","156739.827499452","185513.866020716"
"[FAoxo(12:0)]12-oxo-10E-dodecenoicacid","2936481.44323746","3646737.18188869","2573845.60176285","296878.004957717","421846.817184753","414256.519892517","316003.599043711","342953.57410031","372401.040271884","526031.019162869","364631.629481803","711062.188645476"
"[FAoxo_amino(6:0)]3-oxo-5S-amino-hexanoicacid","4098655.14182293","3410986.82198947","3227894.63883277","1002947.64209279","772448.812937179","792595.049239224","2015690.41318851","2032365.55075052","1830786.38626111","2448977.80562536","3899436.86517536","2303748.10371662"
"[FAtrihydroxy(18:0)]9_10_13-trihydroxy-11-octadecenoicacid","2766767.01846745","2823892.65645957","2091292.24053797","670479.532627079","849199.443434397","713067.308328982","288152.85213634","241612.093322073","218100.73067144","857341.271320679","321840.947246166","955611.811747447"
"[SThydrox]17beta-hydroxyandrost-4-en-3-one3-D-glucuronide","86080.7778548367","69593.4246430135","91812.7790446956","72931.3292470735","37917.1155574533","23515.1638481523","1211406.59354473","878511.995718786","917538.233626851","1136563.50539952","963505.374890624","1290952.75391585"
"[STtrihydrox]3alpha_11beta_21-5alpha-trihydroxy-pregnane-20-one","1551532.90267169","1214666.79985701","728278.154282338","355076.936857025","691709.876987369","503892.047211326","1641962.27948169","1942416.60273114","953467.820405324","1623932.38293579","1069673.96841934","1415815.88496273"
"1'-Acetoxyeugenolacetate","2660.40272530616","2642.05724736105","2605.83770143673","2611.02201201154","2631.93007693076","2692.76425943401","127867.551323195","145762.179075085","110937.370928814","359271.439556424","581264.318309714","535561.335482199"
"1-(1,3-Benzodioxol-5-yl)-3-(2,6-dimethylphenyl)urea","5449.58251439501","5447.22991708565","5082.75891865644","4201.0140425096","4175.66622180702","4166.58874746409","28010.5495782492","36744.87089643","36191.1780916989","1191474.53668182","589228.374927713","135484.06561868"
