"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","17183749.9908892","26918410.5999514","19323090.1427835","27377067.1075851","28482938.4065997","27030247.4272542"
"(9Z)-Tetradecenoicacid","568600.743996278","561263.306947424","604277.569620964","694991.233358","1123736.12701871","1067701.6385214"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","1800479.25765098","2254543.38594227","1610370.70184162","4879330.07734983","4749652.8276998","4408131.97794735"
"(E)-4-hydroxyphenylacetaldehydeoxime","811289.345556163","3595695.73180543","2531199.78921888","3942091.00946667","6148023.93361909","4402997.60777408"
"(R)-2-Hydroxyglutarate","57760088.8011306","52407483.5024888","61935044.9804318","55215428.4165213","55148190.3089592","56042946.6160345"
"(R)-2_3-Dihydroxy-3-methylbutanoate","3138.1447156551","3138.1447156551","3138.1447156551","6411625.01600719","5644418.96076535","7397731.40287609"
"(R)-2_3-Dihydroxy-3-methylpentanoate","721678.550118141","559102.393844168","654489.094149106","1207008.85160403","949153.174541472","769252.619442917"
"(R)-4-Dehydropantoate","5313550.92868781","4964651.0578535","5449725.62225356","12180172.0830242","16222599.6233085","16162810.4152758"
"(R)-Coclaurine","3138.1447156551","3138.1447156551","3138.1447156551","17758494.3885589","26949991.2402956","23182877.0112648"
"(R)-Malate","216018.097898857","199257.279674772","120983.071465267","671113.888480725","498620.34464937","526503.324743562"
"(R)-Norcoclaurine","3138.1447156551","3138.1447156551","3138.1447156551","653590.916452594","1113661.15750298","1008240.11762763"
"(R)-Pantolactone","323841.468560186","340083.547273486","274354.196724002","3138.1447156551","3138.1447156551","3138.1447156551"
"(R)-Prunasin","3138.1447156551","3138.1447156551","3138.1447156551","177777.306445515","241958.254863923","218315.922809461"
"(R_R)-Tartaricacid","1405376.31912845","996256.840715114","1379721.86971904","959824.698399902","1597652.15089233","1637448.19351512"
"(S)-4-Amino-5-oxopentanoate","1554594.91114376","2188092.8028639","2874803.81277428","3138.1447156551","3138.1447156551","3138.1447156551"
"(S)-Malic acid-1-O-beta-D-glucopyranoside","19036542.1869945","19641810.0963057","18605783.0063939","18481648.4521204","19282613.9943811","18896370.6504043"
"(S,S)-Anacine","16690330.3971603","23017332.0423191","17309422.5993151","61113641.4018163","85535361.2177657","81834005.6778559"
"[(2R)-5-Methyltetrahydro-2-thiophenyl]boronic acid","3138.1447156551","3138.1447156551","3138.1447156551","981434.029809342","987458.427674684","1159583.42587338"
"[1-Methyl-2-({2-[(2-methyl-2-propanyl)sulfanyl]ethyl}sulfanyl)-1H-imidazol-5-yl]methanol","3138.1447156551","3138.1447156551","3138.1447156551","487057.451189852","416499.106753662","435797.175690546"
"[FA(18:0)]12R_13S-epoxy-9Z-octadecenoicacid","10596515.7055289","12206007.5189991","10030463.4098764","9961782.65203407","13352441.2316637","12312688.7898071"
"[FA(18:1)]9Z-Octadecen-12-ynoicacid","33242947.4354621","44452308.3479076","35026887.9528375","41720266.9049168","48736271.1284189","46634960.5734348"
"[FA(18:2)]9Z_11E-octadecadienoicacid","11229286.0594498","12037272.447113","9554880.75795611","8712463.73556118","13952661.346497","12959799.2596854"
"[FA(18:3)]13S-hydroperoxy-9Z_11E_14Z-octadecatrienoicacid","747816.943300915","1097381.30111333","980238.76915918","1830282.4800113","1898118.32369611","1657224.52723376"
"[FA(18:4)]6Z_9Z_12Z_15Z-octadecatetraenoicacid","19281432.3837799","25422844.4258554","16637667.1804613","26624152.1536929","25586270.0689204","22001747.3469195"
"[FAamino(5:0)]2S-amino-pentanoicacid","3138.1447156551","3138.1447156551","3138.1447156551","8850260.90337632","9850061.91802234","10503595.475397"
"[FAhydroxy(18:0)]12_13-dihydroxy-9Z-octadecenoicacid","2711530.63864781","2091654.0319182","1566137.46907713","4180275.74659046","5380264.3681867","4962052.83850197"
"[FAhydroxy(20:3)]11_12-dihydroxy-5Z_8Z_14Z-eicosatrienoicacid","3138.1447156551","3138.1447156551","3138.1447156551","154068.413068907","202990.828079348","178623.617516898"
"[FAhydroxy(4:0)]N-(3S-hydroxy-butanoyl)-homoserinelactone","3138.1447156551","3138.1447156551","3138.1447156551","300136.790773824","860294.573178197","1366007.15192196"
"[FAoxo_amino(6:0)]3-oxo-5S-amino-hexanoicacid","2440655.07658968","2206185.77388262","2770899.96036862","3138.1447156551","3138.1447156551","3138.1447156551"
"[FAtrihydroxy(18:0)]9_10_13-trihydroxy-11-octadecenoicacid","1831904.97208281","1881239.47047656","1221118.51698541","606404.919194968","689482.679308738","571498.44860443"
"[STtrihydrox]3alpha_11beta_21-5alpha-trihydroxy-pregnane-20-one","697516.86316799","546017.247921518","329633.702429975","1954911.8215237","1324251.84629474","926586.943328934"
"{3-[(E)-2-(1,3-Benzodioxol-5-yl)vinyl]-2-oxiranyl}(1-piperidinyl)methanone","76645.6996434831","106499.689424932","113870.896039207","3138.1447156551","3138.1447156551","3138.1447156551"
"1-(4-{4-Methyl-5-[(4-methyl-1-piperazinyl)methyl]-4H-1,2,4-triazol-3-yl}-1-piperidinyl)ethanone","3138.1447156551","3138.1447156551","3138.1447156551","415618.804504184","578923.074353509","569029.043091765"
"1-(4-Amino-1,2,5-oxadiazol-3-yl)-5-{[cyclohexyl(methyl)amino]methyl}-N'-[(E)-4-pyridinylmethylene]-1H-1,2,3-triazole-4-carbohydrazide","144721.970443045","229862.372030092","196057.249266067","3138.1447156551","3138.1447156551","3138.1447156551"
"1-(4-Hydroxyphenyl)-2-aminoethanol","2133764.59188443","3804208.74590483","1647508.55644635","851360.331012143","1043207.75678332","711331.609095282"
"1-(Dimethylsilyl)-1H-pyrrole","752832322.707653","746260847.640459","755236881.164259","720106397.201892","737119305.233662","735228674.515034"
"1-[(3aR,6R,7aS)-6-(Cyclopropylmethoxy)-3a-methoxyoctahydro-1H-indol-1-yl]-2-phenylethanone","3138.1447156551","3138.1447156551","3138.1447156551","575000.277585375","978554.440156604","804692.273337013"
"1-[(7S,11R,12R,13R)-9-Acetyl-12,13-dihydroxy-7-isobutyl-11-methoxy-1-oxa-6,9-diazacyclotetradecan-6-yl]-2-(1,3-dihydro-2H-isoindol-2-yl)ethanone","3443515.60567956","1108397.71400114","770847.177002456","3804033.64598354","3632923.95303959","3160559.58400439"
"1-[(N-Acetylglycyl)(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)amino]-N-cyclohexylcyclohexanecarboxamide","3138.1447156551","3138.1447156551","3138.1447156551","414952.46530352","441830.462819531","428497.721764705"
"1-{[1,2,4]triazolo[1,5-a]pyrimidine-2-carbonyl}-1H-imidazole","3138.1447156551","3138.1447156551","3138.1447156551","94831.669319724","89886.2995900432","103641.77196983"
"1-{5-[(4-methoxyphenyl)carbamoyl]-1,3,4-thiadiazole-2-carbonyl}piperidine-3-carboxylic acid","1137921.87903556","1231765.02557975","1245178.31016091","1220752.73319423","1168722.84506459","1138627.82289091"
"1-Amino-1-deoxy-scyllo-inositol","766750.43006366","1163352.69888818","1596998.24293455","3138.1447156551","3138.1447156551","3138.1447156551"
"1-Boc-4-Vinylpiperidine","3138.1447156551","3138.1447156551","3138.1447156551","516055.383491935","674223.885352293","518258.942092708"
"1-Cyclooctyl-4-phenyl-1-butanone","425462.899535018","633868.196823478","417561.489990251","560924.281101718","476326.991670528","435635.484550129"
"1-deoxynojirimycin","1438398.66748816","1403902.79139804","1134348.97334147","2757169.21672616","2556830.65664185","2633013.59352645"
"1-Ethynyl-4-octylbenzene","3138.1447156551","3138.1447156551","3138.1447156551","74898.1397333685","71160.8127555024","44054.5293004833"
"1-Linoleoylglycerophosphocholine","2557030.59272376","1249392.52989258","886197.200191463","3138.1447156551","3138.1447156551","3138.1447156551"
"1-Methoxy-dec-2-ene-4,6,8-triyne","2960092.95864612","2991327.2940911","2989231.51930804","3138.1447156551","3138.1447156551","3138.1447156551"
"1-Methylpyrrolinium","638013.491241498","1217890.03529286","918218.689413165","354744.58779781","335315.287318301","784269.059056904"
"1-O-Tetradecanoyl-D-glucitol","910974.672357796","924488.240674698","722444.4938346","681014.562136222","891522.509301881","781311.097378446"
"1-palmitoylglycerol;MAG(16:0)","2100734.49070367","2634252.70773505","1672521.45318725","675414.40577615","1770546.3531415","1552651.33459188"
"1-Palmitoylglycerophosphocholine","3138.1447156551","3138.1447156551","3138.1447156551","434740.577483141","459394.613794249","383436.215792863"
"1-Pentofuranosyl-2,4(1H,3H)-pyrimidinedione","3138.1447156551","3138.1447156551","3138.1447156551","2148488.31519426","2733363.79878545","4549881.9169743"
"1-phenyl-1-butyne-3-ene","10316955.9789801","6072012.92622125","11514584.8779607","3138.1447156551","3138.1447156551","3138.1447156551"
"1(2H)-Isoquinolinone","584613.625942994","5178047.94508427","3445365.10493584","802329.117636812","1334137.2210012","1050537.77197012"
"1,1'-(1,4-Phenylene)bis{3-[2-(dimethylamino)ethyl]urea}","2134240.91114957","2006288.95535747","1878992.01360385","1883553.26290959","2132501.13098393","1927439.05376147"
"1,1,6-Trimethyl-1,2-dihydronaphthalene","3138.1447156551","3138.1447156551","3138.1447156551","265954.485605361","454330.084772285","186166.54852504"
"1,2-Divinylbenzene","3138.1447156551","3138.1447156551","3138.1447156551","1608195.68038735","3765046.60686311","3656859.59614317"
"1,3-BIS(METHYLTHIO)-2-PROPANOL","3138.1447156551","3138.1447156551","3138.1447156551","4770204.79623776","5627883.58367493","8754497.78522147"
"1,3,5-Heptatriene","3804737.88777514","4136273.51987789","2172280.95578784","6000786.2351163","4999982.52082853","4654896.03850346"
"1,3,5-Norcaratriene","3138.1447156551","3138.1447156551","3138.1447156551","1917388.63205372","1552925.72537706","1793730.29515195"
"1,3,6-Octatriene","56483285.3332912","62098904.6879038","63621397.4840593","71727772.3162224","61624673.4723749","66332544.2963469"
"1,4-Cyclohexadiene","3138.1447156551","3138.1447156551","3138.1447156551","669179.491700551","845538.217079296","773243.985001314"
"1,4,8,11-Tetraazacyclotetradecan-1-ylphosphonic acid","3138.1447156551","3138.1447156551","3138.1447156551","104168.398653757","83626.7312228691","71190.8308047068"
"1,5-Pentanedithiol","3138.1447156551","3138.1447156551","3138.1447156551","51610728.4646385","58503776.8142079","86238976.7373301"
"1_2-Dihydrosantonin","3138.1447156551","3138.1447156551","3138.1447156551","199119.292191612","148655.339290017","130369.96875383"
"1_2_4-Trimethylbenzene","2423657.35553599","2890107.44696409","1959012.72830078","2425844.50927032","2646035.79269564","2111241.58747913"
"1_4-Dihydroxy-2-naphthoate","3138.1447156551","3138.1447156551","3138.1447156551","174493.620261722","170784.383574609","221497.527450449"
"1_5-Anhydro-D-mannitol","513462.114374505","1013892.56087142","613755.64043661","781182.132606046","597976.785043463","668143.075764442"
"1_6_6-Trimethyl-2_7-dioxabicyclo[3.2.2]nonan-3-one","2302053.25046634","2655560.81075492","1797848.25342073","2558211.88644974","2446868.22386892","2259784.60237251"
"1_8-Diazacyclotetradecane-2_9-dione","4745410.36206061","5254720.2887821","5132711.33966819","3138.1447156551","3138.1447156551","3138.1447156551"
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one","3138.1447156551","3138.1447156551","3138.1447156551","339182.133630106","346090.925949919","350207.462951699"
"10-hydroxydecanoicacid","84111.2952340548","121162.108194915","81012.3178027694","183287.653757548","177386.143602178","219581.192677927"
"10-Methyldodecan-4-olide","600558.177777673","667553.540699855","522283.805942141","1288583.34208523","1395699.76811957","1283857.20943946"
"10_16-Dihydroxyhexadecanoicacid","207549.130227834","152527.224470775","97950.1083562934","511170.060951329","646648.7214793","496044.83120294"
"11-(4-Hydroxybutoxy)undecanehydrazide","3138.1447156551","3138.1447156551","3138.1447156551","199101.850439533","264941.069620613","238708.735105834"
"11-cis-Retinol","146833.453916207","177936.17292178","141941.056446893","263300.554334964","308375.368782999","294502.516657571"
"12-Aminolauric Acid","130449.153961266","130006.277339441","119256.386922196","3138.1447156551","3138.1447156551","3138.1447156551"
"12-Oxo phytodienoic acid","3138.1447156551","3138.1447156551","3138.1447156551","911198.382217018","617309.376137796","494364.492031781"
"13-Decyl-1,4,7,10-tetraoxa-13-azacyclopentadecane","474513.041986117","501266.078604513","459713.465648429","387322.016055009","437491.383490082","420473.416257054"
"15,16-Diisopropyl-3,6,7,10,13,14-hexamethylpentacyclo[10.2.1.1~5,8~.0~2,11~.0~4,9~]hexadeca-2(11),3,6,9,13-pentaene","247984.050072433","421372.056048595","384485.153173628","119236.067404565","207088.979069261","265533.203987227"
"16-Heptadecynoic acid","115006.567280234","138909.334654104","121752.233138345","132228.32337114","169800.833958164","160398.163593857"
"16-Methoxy-16-oxohexadecanoic acid","1787950.60239148","2660539.56374582","2095682.59356751","2234233.03745928","2850382.41793124","2989134.55243911"
"17a-Estradiol","1025910.75420741","1100625.93130746","420771.003373174","1639145.69857643","1006771.32809887","772671.893670716"
"18S-hydroxyneodihydroprotolichesterinic acid","325603.249584296","182227.770939317","126139.21825623","185635.427981566","193683.933898982","143925.371411886"
"1D-chiro-inositol","3488455.36799744","4654873.16463627","6529346.9961729","3138.1447156551","3138.1447156551","3138.1447156551"
"2'-Deoxyinosine","1147177.75834549","1654759.95966649","1422036.07192256","5708713.96861661","7158408.66460062","6642221.96795124"
"2',4'-dihydroxy-3'-methoxymethyl-5'-methylacetophenone","112388.620005533","281783.163606326","180332.55506791","3138.1447156551","3138.1447156551","3138.1447156551"
"2-((4-Chlorophenyl)sulfonyl)ethanethioamide","3138.1447156551","3138.1447156551","3138.1447156551","22986.93802421","23679.5790702299","28521.7824143487"
"2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid","474743.89223547","1151557.56784177","879546.196344175","3138.1447156551","3138.1447156551","3138.1447156551"
"2-(2,4-Dimethoxyphenyl)-N-(4-{[(4-methylphenyl)sulfonyl]amino}phenyl)-4-quinolinecarboxamide","764842.097216643","808452.441138703","820440.743109432","836868.303276025","806259.546026675","785859.311918043"
"2-(3'-methylthio)propylmalate","68014993.8262361","68131435.6519442","70034105.9343607","65076349.6202463","66532645.8257987","65746958.6752807"
"2-(4-Methyl-4H-1,2,4-triazol-3-yl)ethanamine","313338.890635448","452359.225699517","335110.018166043","215829.779881302","205559.645498171","195386.114071042"
"2-(Allylsulfonyl)ethanamine","3138.1447156551","3138.1447156551","3138.1447156551","322109.922174259","454469.851179885","1098110.63509125"
"2-(beta-D-Glucosyl)-sn-glycerol","3138.1447156551","3138.1447156551","3138.1447156551","1204536.30649118","1182946.95407111","1554391.98616863"
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","279151.748130823","386499.832942112","389824.468344314","193467.829367122","341439.353364773","321836.92210459"
