"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"(9Z)-Tetradecenoicacid","951013.410361832","703529.535806569","1217214.84681446","694991.233358","1123736.12701871","1067701.6385214"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","2818640.16843378","3208781.59973617","3171917.12510013","4879330.07734983","4749652.8276998","4408131.97794735"
"(E)-4-hydroxyphenylacetaldehydeoxime","3138.1447156551","3138.1447156551","3138.1447156551","3942091.00946667","6148023.93361909","4402997.60777408"
"(R)-2-Hydroxyglutarate","47259297.3117674","45065227.8762598","45451549.3711652","55215428.4165213","55148190.3089592","56042946.6160345"
"(R)-2_3-Dihydroxy-3-methylbutanoate","3138.1447156551","3138.1447156551","3138.1447156551","6411625.01600719","5644418.96076535","7397731.40287609"
"(R)-2_3-Dihydroxy-3-methylpentanoate","3138.1447156551","3138.1447156551","3138.1447156551","1207008.85160403","949153.174541472","769252.619442917"
"(R)-3-Amino-2-methylpropanoate","2078729.72877766","837645.276659435","2348726.29703419","3138.1447156551","3138.1447156551","3138.1447156551"
"(R)-4-Dehydropantoate","1040135.25551726","1028443.01792366","1185746.24247807","12180172.0830242","16222599.6233085","16162810.4152758"
"(R)-Coclaurine","3138.1447156551","3138.1447156551","3138.1447156551","17758494.3885589","26949991.2402956","23182877.0112648"
"(R)-Malate","3138.1447156551","3138.1447156551","3138.1447156551","671113.888480725","498620.34464937","526503.324743562"
"(R)-Norcoclaurine","3138.1447156551","3138.1447156551","3138.1447156551","653590.916452594","1113661.15750298","1008240.11762763"
"(R)-Prunasin","3138.1447156551","3138.1447156551","3138.1447156551","177777.306445515","241958.254863923","218315.922809461"
"(R_R)-Tartaricacid","434859.480522078","779395.207519587","876388.532704199","959824.698399902","1597652.15089233","1637448.19351512"
"(S)-Carnitine","26831845.7835256","18754046.7505575","25712517.8850941","3138.1447156551","3138.1447156551","3138.1447156551"
"(S)-Malic acid-1-O-beta-D-glucopyranoside","19325157.200785","18557705.3678808","17953150.1303178","18481648.4521204","19282613.9943811","18896370.6504043"
"(S)-N-tetradecanoyl-HSL","186850.041391511","148169.440146801","194126.098484144","3138.1447156551","3138.1447156551","3138.1447156551"
"(S,S)-Anacine","3138.1447156551","3138.1447156551","3138.1447156551","61113641.4018163","85535361.2177657","81834005.6778559"
"?-(Methylenecyclopropyl)glycine","9138931.09454071","5771465.47148172","6480604.60103569","3138.1447156551","3138.1447156551","3138.1447156551"
"[(2R)-5-Methyltetrahydro-2-thiophenyl]boronic acid","3138.1447156551","3138.1447156551","3138.1447156551","981434.029809342","987458.427674684","1159583.42587338"
"[1-(Methylsulfonyl)-4-piperidinyl](1-pyrrolidinyl)methanone","1399786.04251863","1145194.49684364","1305370.49458191","3138.1447156551","3138.1447156551","3138.1447156551"
"[1-Methyl-2-({2-[(2-methyl-2-propanyl)sulfanyl]ethyl}sulfanyl)-1H-imidazol-5-yl]methanol","3138.1447156551","3138.1447156551","3138.1447156551","487057.451189852","416499.106753662","435797.175690546"
"[FA(18:0)]12R_13S-epoxy-9Z-octadecenoicacid","6210219.24539554","5330275.40860545","8250250.63924205","9961782.65203407","13352441.2316637","12312688.7898071"
"[FA(18:1)]9Z-Octadecen-12-ynoicacid","47429798.4858684","41051050.5862797","54465689.1901057","41720266.9049168","48736271.1284189","46634960.5734348"
"[FA(18:2)]9Z_11E-octadecadienoicacid","16120433.9373331","18433374.7265872","33902385.6443924","8712463.73556118","13952661.346497","12959799.2596854"
"[FA(18:3)]13S-hydroperoxy-9Z_11E_14Z-octadecatrienoicacid","3138.1447156551","3138.1447156551","3138.1447156551","1830282.4800113","1898118.32369611","1657224.52723376"
"[FA(18:4)]6Z_9Z_12Z_15Z-octadecatetraenoicacid","30001991.7592451","30412200.9769716","32984767.830681","26624152.1536929","25586270.0689204","22001747.3469195"
