"name","area_11_1_856_S25","area_11_2_856_S25","area_11_3_856_S25","area_11_1_15_S25","area_11_2_15_S25","area_11_3_15_S25","area_11_1_92_S25","area_11_2_92_S25","area_11_3_92_S25","area_2_1_15_J17","area_2_2_15_J17","area_2_3_15_J17","area_2_1_15_J25","area_2_2_15_J25","area_2_3_15_J25","area_2_1_15_S17","area_2_2_15_S17","area_2_3_15_S17","area_2_1_15_S25","area_2_2_15_S25","area_2_3_15_S25","area_8_1_15_S25","area_8_2_15_S25","area_8_3_15_S25","area_10_1_15_J17","area_10_2_15_J17","area_10_3_15_J17","area_10_1_15_J25","area_10_2_15_J25","area_10_3_15_J25","area_11_1_856_J25","area_11_2_856_J25","area_11_3_856_J25","area_11_1_15_J25","area_11_2_15_J25","area_11_3_15_J25","area_11_1_92_J25","area_11_2_92_J25","area_11_3_92_J25","area_8_1_15_S17","area_8_2_15_S17","area_8_3_15_S17"
"group","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","4960086.79721939","4746234.293528","8141117.45326128","4498932.22310749","3093372.40782466","9301779.96092538","8556086.32279582","5802631.78618103","13842166.2260469","5866457.38349085","9478667.16765162","6448725.4090768","6057325.04494602","15733837.217496","13575423.1993471","5682026.51877276","5614931.7998935","8247139.53273486","12400911.0605874","16236717.9451719","2491308.68713255","4985145.55006968","18779547.1898309","3537163.39615905","10567655.7883083","2742785.38696375","11055689.6418163","7290244.69281274","10148679.6607385","7758898.98107268","8889413.63985559","19059056.8360228","8844960.88050444","5733864.49126128","4160803.1528816","2449606.4371405","5601676.92586612","1946493.44798635","6440761.88623106","8693007.51344413","13534283.6990456","7919001.14483977"
"(2R,9R)-(+)-microdiplodiasone","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","925050.803160733","769762.440238602","506440.043707117","1610710.84746595","3395749.02458487","3517158.80288501","10729981.4570442","11706085.1686211","13288768.0515559","1952909.1832807","3255504.30517057","3168224.87496269","1145193.22114404","1178109.29000578","1531489.86855037","644212.293296571","886353.145643953","802313.464710842"
"(2R_3S)-2_3-Dimethylmalate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","1657288.15090836","1731654.86119486","1431039.64370975","2818299.48465965","1962794.27965486","2821433.68266308","2109482.1524086","720821.354149923","1167436.60772057","2693278.36349932","1685508.38355072","2783467.97916664","1173025.08092097","2625033.23415178","883865.766747404","955389.739312668","1033558.20365185","966037.715668169"
"(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","680097.313660301","1255430.0837012","1072929.68083175","2389218.18848472","911124.507617538","5547028.29842085","3970108.58647742","791522.972340046","798182.689626443","3442910.85327842","442793.934415229","2476066.31617547","1307328.75836948","4919144.1258606","1248209.74879773","1347500.27409944","2296630.26598421","2965983.04876205"
"(2S)-2-Isopropyl-3-oxosuccinate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","1530209.90736203","2110332.61262208","1741963.89192524","1720099.85640846","839177.009780439","1063662.34160263","1768030.83951455","660706.23526055","1159301.72026802","1496664.20888486","1018879.15944884","2198306.26710967","1105057.42638093","3077171.18271594","781473.986108297","2817446.89759323","1859362.43917344","1727479.20527837"
"(3-Amino-4-methoxyphenyl)(4-methyl-1-piperazinyl)methanone","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","461291.074201482","410605.148851241","395503.455069902","3311914.03644443","1441478.48767236","690001.214818425","2223159.23091724","3046941.20136661","5605358.93789074","5581706.69341673","414708.960792252","3364544.29964972","713847.257157682","829094.605697438","814220.402617487","1757601.60316098","1532244.41194314","582487.609651528"
"(3R)-beta-Leucine","13742797.9357962","19236712.3580957","24177309.2649372","71281474.2684515","18721243.1098596","21025452.0357989","44871945.4427569","46515191.655161","30157886.9280184","61123707.8991463","50117537.0234826","45103616.0332184","34788818.587737","24778904.5023982","33080810.8321894","23792521.6544524","15064949.0818529","19406162.2650429","31078410.9236931","46693101.1049867","23656389.5824253","20627366.6998457","36300639.9250759","30105167.9825501","24216845.8574095","32664694.9318972","40864549.9484457","48878438.9626755","22705231.6610539","17109458.0379538","27576963.90796","21233208.0183805","20313984.712175","53706447.8882021","16297218.1510884","17276954.638887","50626778.8056117","86908562.6376659","53893449.6087032","15634216.8106975","17542824.0878172","29111219.9852673"
"(3S)-3_6-Diaminohexanoate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","3255465.32379452","82829.7907032656","112311.789754708","83429.1173355324","43630.9250481971","132339.076011438","95540.2810686344","53025.6694889014","23938.8583761898","9729.55709333174","62167.3246285015","71060.5168198975","60432.5664006146","200331.541670928","127136.858747361","190531.854600915","413402.098042342","224014.736300787"
"(4E)-2-Oxohexenoicacid","31382768.3697744","33645295.0668854","22725569.7700226","69458246.5262766","60258410.968667","75718044.7543363","34941548.8250451","38922103.9557409","32569888.6673464","17269160.6630015","12791508.6627834","11926957.1501478","67155760.3352083","55966686.235995","40865676.4114019","19813712.7179932","22940854.5567244","24521438.5155497","6140098.0345145","16758497.9178895","10914272.9122376","26876658.7472634","29441717.7545836","27152473.9840933","140130493.909485","166993603.099847","140495209.234715","80021057.6586769","79794885.3235453","99903274.5313338","41044109.5097586","49197596.5021439","42054936.7104447","86338338.9723006","100799112.72436","145766017.612215","32012934.4195169","91585571.0500841","29169775.1541664","30253024.9245987","45015017.9278293","43692837.8339057"
"(4S)-4_6-Dihydroxy-2_5-dioxohexanoate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","1406725.83242796","595643.112082249","1792068.26171064","1800035.96202493","1813832.9694773","1694661.55656698","1972564.6637983","1801129.91340006","1826493.86770372","1817039.94134492","1892866.73552762","1829007.08116421","1748093.79603281","1777305.12661844","1793343.10498706","955054.530282185","1274480.41343306","1564088.1115714"
