"name","area_11_1_856_S25","area_11_2_856_S25","area_11_3_856_S25","area_11_1_15_S25","area_11_2_15_S25","area_11_3_15_S25","area_11_1_92_S25","area_11_2_92_S25","area_11_3_92_S25","area_2_1_15_J17","area_2_2_15_J17","area_2_3_15_J17","area_2_1_15_J25","area_2_2_15_J25","area_2_3_15_J25","area_2_1_15_S17","area_2_2_15_S17","area_2_3_15_S17","area_2_1_15_S25","area_2_2_15_S25","area_2_3_15_S25","area_8_1_15_S25","area_8_2_15_S25","area_8_3_15_S25","area_10_1_15_J17","area_10_2_15_J17","area_10_3_15_J17","area_10_1_15_J25","area_10_2_15_J25","area_10_3_15_J25","area_11_1_856_J25","area_11_2_856_J25","area_11_3_856_J25","area_11_1_15_J25","area_11_2_15_J25","area_11_3_15_J25","area_11_1_92_J25","area_11_2_92_J25","area_11_3_92_J25","area_8_1_15_S17","area_8_2_15_S17","area_8_3_15_S17"
"group","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA"
"15,16-Diisopropyl-3,6,7,10,13,14-hexamethylpentacyclo[10.2.1.1~5,8~.0~2,11~.0~4,9~]hexadeca-2(11),3,6,9,13-pentaene","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","72445.6078193294","23535.4079055652","111312.279913771","245852.669676636","232697.574036316","615227.073499572","426737.811258166","199108.056263922","85307.3447342178","184920.999435045","143797.051540966","13467.7409556976","425058.529885581","206999.960655214","732567.676925475","119236.067404565","207088.979069261","265533.203987227"
"17a-Estradiol","560621.179581618","653573.032418254","794025.89732233","1935564.60824986","1637938.44281758","1751785.54539527","2594375.47031772","2864123.21452123","3135670.75381378","4613069.61449113","4532438.54383035","2102098.33690524","1588450.45946069","1479385.32423733","1346601.98398823","792913.287138283","1177846.99100796","779071.12946135","996199.194551802","1287912.18564714","804564.071492012","1025910.75420741","1100625.93130746","420771.003373174","305412.701220871","273053.834142916","117090.42056669","1493926.231036","254007.420860659","291944.736997694","362747.143399181","279320.869224933","376577.139726739","1542275.42390281","314265.210979699","507149.093654987","1055851.23649383","1535938.45876644","742290.684201864","1639145.69857643","1006771.32809887","772671.893670716"
"18S-hydroxyneodihydroprotolichesterinic acid","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","166136.07724802","180870.210327227","116912.128055944","225591.519650786","86678.3922999909","115257.956182284","18443.4072418569","25993.3980286454","77063.757681959","228450.171784459","131123.005731706","193854.078969197","54876.4259030892","72992.4356285823","62727.5469544167","185635.427981566","193683.933898982","143925.371411886"
"2'-Deoxyinosine","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","59080194.1475002","47697194.4478945","32430261.0844417","94650994.6730268","77971049.4736694","226451871.358861","71695279.0699462","3565552.0915648","25576307.3034203","137987330.749852","51831002.9335124","83882682.9862418","9045239.22799235","42775379.4474736","6250000.2782999","5708713.96861661","7158408.66460062","6642221.96795124"
"2-(2,4-Dimethoxyphenyl)-N-(4-{[(4-methylphenyl)sulfonyl]amino}phenyl)-4-quinolinecarboxamide","830634.890461273","830401.222320414","815824.788345548","825457.833156787","852943.92905872","826752.524695208","889199.873152216","852899.722496125","861457.392204022","841199.081546517","787871.689056331","831360.33053526","878180.75697827","831225.023381153","833075.679458949","817363.511635398","789374.736836859","774690.487166384","779686.099323327","759578.580666925","744245.878033966","764842.097216643","808452.441138703","820440.743109432","815116.784987017","832013.312932443","856761.58012778","888628.67616176","847260.964162029","853307.728041516","817038.57111079","800077.505556302","842316.771495771","883159.148888954","856833.135045079","858295.789317816","840133.949786146","761496.832113681","858348.757692839","836868.303276025","806259.546026675","785859.311918043"
"2-(3'-methylthio)propylmalate","74466272.0711129","72920538.4338944","74263026.815343","76891240.4974296","78672572.7279332","75823576.8594228","77660337.9687903","77524044.0056522","76535943.4075343","79848604.9591353","79331478.9229277","77898742.3439886","81942381.7006902","81467241.0133014","80167128.4266029","65878180.1059374","62482087.1096125","63968143.2591974","65477056.3023305","64065431.8383313","64478463.5057313","68014993.8262361","68131435.6519442","70034105.9343607","83273429.356601","79809497.1604491","78859081.8604029","81213923.9645965","82178539.9033856","77482363.8565503","84213020.8935126","84040786.5531027","86285321.8783845","87083139.4150204","87887702.9746322","85200753.4297992","85504650.8345525","81991579.154253","83049047.2261154","65076349.6202463","66532645.8257987","65746958.6752807"
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","465403.885661029","329541.143976967","462252.851543664","313702.577461933","505216.274409475","245056.482860264","373799.417679089","317153.507913367","541751.935311771","526122.911313621","531793.073203235","423068.267153622","518639.706496831","379688.859376669","505435.139486684","193467.829367122","341439.353364773","321836.92210459"
"2-(Hydrazinocarbothioyl)hydrazinecarboxamide","5948719.05809105","5816898.67333095","6050674.51823004","4492768.11754219","6230712.95630817","5994340.71850958","4701675.80186221","6198619.99225616","6143724.71693204","6513548.43167609","5232318.5917603","4007675.5371534","5525832.12532872","5453899.57657104","4064241.5193762","4712264.2740208","2894968.95198154","2891320.01003546","4788431.92698428","3755378.56932353","5685488.54212914","3254814.48807734","3391712.18446199","4883418.19766152","3645211.00439907","4753433.19565719","4645804.91595325","4647131.61783387","3607892.45488359","4792755.23366042","5404936.11911519","5776736.58383693","5899341.88237369","5971044.48879305","6188504.81558002","6088558.67368548","4708238.96859146","6074192.89466565","4595383.32180658","3248517.53111042","3412389.97117099","4638749.48267466"
"2-(morpholinomethyl)-4-(2-phenyldiaz-1-enyl)phenol","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","1471971.26811053","1056039.31359045","994213.804991209","576469.025121573","688453.916943352","2064450.30494648","587314.232921079","125886.372100286","308628.726214161","791419.796439147","588696.225846523","989928.296017097","240829.712881772","301342.318411409","276093.490249494","494592.762154246","697584.271411367","694859.741522424"
"2-[(DIOCTYLCARBAMOYL)METHOXY]ACETIC ACID","1613105.54477803","1994067.6385271","2838706.93908865","2002453.61351639","1922738.33364349","1965501.13664564","2338944.51594217","2463775.85905318","2665882.29774025","2338761.26604593","2686443.25129747","1724315.7976133","1585285.13416413","1236025.38952087","1308936.09381069","295879.921809583","295957.755403314","333533.609448696","486477.689199412","574825.815251523","456690.354917916","569383.023030291","763551.388280707","517992.796149021","1096935.08418621","1074569.58350851","807741.67946716","1728389.88125391","933130.600252426","1514061.99978787","1673549.66476981","939280.072506099","1407404.81084791","1999148.43222279","922960.858372209","1422554.76930631","1927238.96899303","2784931.82868113","1944537.40770083","571051.238826369","581785.192703104","537621.659662634"
"2-[2-formyl-5-(methoxymethyl)-1H-pyrrol-1-yl]acetic acid","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","130298.010731131","144549.034137709","181158.617104293","886067.125305892","613099.47796579","96017.8879783125","3568.97018801502","8493.29159803221","8932.29454471726","11370.1054354621","3619.85253416938","7716.52592138017","219364.673595803","378353.054537425","251480.081898114","389865.866911272","500916.714663213","599728.83885477"
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol","4368206.15054222","4729509.41601103","6372576.27489402","1881690.62746342","1807132.07046415","1740518.15077209","1831687.72363533","1700884.00429245","2129242.59923913","15031348.755332","14234462.7902808","12997876.9778061","3196817.10243411","2612027.6857522","2784863.47862727","483918.03125516","527899.209434147","735073.959138528","205992.127418195","236566.518701059","291056.75242948","252488.876276797","519613.816355397","286491.774222626","2720370.1911754","2264042.57629434","2778072.35427505","3689305.69001161","2032914.9332401","8143269.84031514","428825.754913669","105234.585267079","255876.181141443","399588.31185501","319754.796260139","327706.110489961","1042120.91538379","1924383.64590639","992146.119219902","2480587.62363089","2528814.0149302","2615677.4033615"
"2-{1-[(TERT-BUTOXY)CARBONYL]AZETIDIN-3-YL}PROPANEDIOIC ACID","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","467069.069052951","1064185.89160578","1123713.20329402","158100.887379818","126231.912152347","30083.7867660627","11120.6640676323","150352.279641025","227867.431358691","233031.236885962","121490.207318424","481373.892809954","516634.19210266","1134769.19362521","336965.903330906","255620.351353587","258955.65944593","261095.692791585"
"2-Cyclododecyl-1-(4-morpholinyl)ethanone","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","402325.756957798","338826.122028775","478860.935419245","400414.008556484","220876.462571948","388305.263130959","383950.281534507","77103.1982150426","175046.792886528","367344.462307204","217166.27584293","264762.821926745","365401.762309959","700582.882852273","382734.464202636","430877.627556213","436689.430896183","359286.69865943"
"2-Hydroxy-3-oxopropanoate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","897980.221313555","1026073.11533579","863742.692906618","3760732.38791278","2719208.82438381","8252648.88088808","4394994.72931814","311082.622130757","312530.699883268","4023696.22413166","1061716.78028345","4213816.27016406","168030.729175625","1131490.84535198","102799.670270602","1075056.02989422","1185980.74374851","1191723.81940083"
"2-Hydroxyhepta-2_4-dienedioate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","2596095.16677293","2468293.19877155","3365365.73528099","1802556.93809013","1314693.1043696","1855237.50876995","530063.589551418","145302.575035435","191923.040651837","849984.272292215","394098.951788434","1421932.55522783","138549.125302868","1705008.79431488","130104.760611298","917731.401753656","959180.040324264","1032144.57038343"
"2-Methyl-2-propanyl 4-(3-amino-1H-1,2,4-triazol-5-yl)-1-piperazinecarboxylate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","184344.139151837","36153.444604506","120409.168914131","102115.435128742","64224.8802658142","73789.123858438","415433.13854735","91680.1464662746","175739.613278917","468049.131280715","785118.399274657","1438199.10560078","200029.44740513","566656.393368716","229742.283834777","138128.249628773","195733.888048348","171321.350303174"
"2-Methylserine","580224.603616345","242523.813029122","265663.613553048","1475163.10836749","999283.716234708","1712598.14591778","247143.059708864","452279.50919759","295444.044452547","1110590.05681565","915551.732506872","451908.422290287","1302508.7467143","922529.39360285","1579581.33991735","1037881.41107811","692273.354690098","887611.630550059","1065824.18541334","906602.637341162","846330.036474585","1167606.88190553","2024009.80030925","2189286.76098274","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977"
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate","3687335.50074527","3833994.78476636","3984437.99231813","4813556.72189416","3453720.83241525","4579775.33196292","715481.888144645","637441.732953878","831020.374011805","538023.150527604","501408.120120734","300643.512234249","2093726.125718","1604783.33507294","1726552.31906521","351354.715334833","288382.387701073","236546.75168266","445746.549352202","830710.058644629","453080.834239849","2058714.43323815","2456698.62681174","1333896.5871424","10364028.0216721","14066526.0405529","12098213.2183879","8350603.51678891","8328019.03516613","5405063.13165004","9262540.96343683","3306550.24168009","6961479.48698552","9467255.22699744","6718870.61394899","9541835.39761792","1627348.5870931","3477573.07770611","1291100.6595022","4562525.07158051","3520116.73534367","3315528.96954302"
"2-Oxovalericacid","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","71114555.1526374","85503011.335856","71516514.3744677","44806215.9501509","52010784.7810353","59945186.7566048","16805174.8368074","20905658.0901811","17064431.3246518","36837810.6944988","45105220.6229296","59164487.8477602","13832382.9306842","37464503.4232101","12021715.582465","12910004.9881399","19090426.8615913","18158546.0042265"
"2-Phenylpropan-2-ol","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","16904779.30367","22634680.3840113","19521944.894418","13696391.7119333","13655511.702778","8845914.42057437","15108915.9098188","5573896.4851847","11317337.1592316","15456765.826722","11052440.8225342","15615948.9560761","2802498.7626459","5821057.24330133","2248266.88454564","7751825.75327524","6059255.89716519","5628398.76950607"
"2,10-dimethyl 4-hydroxy-6-oxo-4-undecen-7-yne","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","1522042.41529043","1105210.30429788","944148.270076364","1182569.99893064","1693471.96233738","1469900.38054834","878245.745983664","1719094.36909823","820692.197437324","977138.439800244","912996.558427763","1135802.89912315","727906.20604778","740238.400464326","733705.855277022","256520.608567673","429328.32927751","187604.994208646"
"2,2-Dinitro-1-propanol","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","543748.366729334","173501.78483643","572111.35987187","2128489.41295586","220469.304497236","2008713.77672326","753920.490025491","813435.845607871","338656.406625933","310360.699594531","325926.800628799","150310.11784765","357760.022168395","240751.911678106","256448.725904875","649272.38564623","600628.798654573","3477769.31252864"
"2,3-Dibromothianaphthene","217536.500647104","208643.96841575","230305.400466257","645609.295531259","363679.029597504","629447.528600638","531006.808447209","532105.647234447","799223.326516589","527795.317342338","343876.478780756","524051.934354328","419227.587099194","181288.311398826","206696.327882927","210240.330068143","138604.978508878","231553.949436727","346045.33929922","632598.936678551","229429.253503096","332269.55365008","652603.517840398","337739.758508376","364005.773864013","657475.55271241","426369.36736374","1022747.1475522","1009144.13294169","1534620.86074935","508853.858788295","117591.265228258","191326.939302419","1076160.28659973","843039.488399885","1112799.52150669","315615.595884155","556599.958547682","229424.939077592","573888.039779833","510449.278841744","474088.016730263"
"2,3-Dinor-11β-prostaglandin F2α","835842.378966422","1628101.01291555","1525499.46221054","2124676.88251845","1816403.23399084","1896591.60706079","2157150.12083235","3014377.50261518","3312896.65156717","4621178.07362667","4838229.02050249","2460082.73945099","1271789.91403315","1390539.2824204","1377300.12596106","973486.578723572","1414426.94642265","1016256.57590257","1168049.208069","1483621.80647936","965736.153530939","1001129.7747934","1188069.48449553","483334.32225207","332244.606964402","313292.396214009","189163.279822081","1579533.2602464","323714.197810447","524069.383869547","447423.154022799","433592.899293845","506456.273207018","1794227.60892709","405579.654669552","582460.269911583","1197455.2822091","1973616.77146471","887048.022207188","1518024.36361727","1010738.02987184","840766.88285499"
"2,3,8,9-tetrahydrocineromycin B","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","144746.252049863","171791.755238885","144900.862809104","94078.8757779067","79667.6698670832","179366.538801876","120537.405418157","31859.0315553719","51571.4907478674","148143.067008398","95756.5807743676","224019.043170414","61856.5413860013","188645.516761169","63827.7936952322","76624.9885360952","81818.0734878528","83154.0322821503"
"2,6,10-trimethyldodeca-2,6,10-triene","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","121455.181749883","156773.93100733","108210.310015524","114811.942544768","95660.1265106261","203269.233097541","44294.7541401742","13290.8038056038","22514.9274446307","113400.498568665","58891.4262994438","172907.044261588","26965.1963906313","56006.0480913056","29474.2110792558","87808.5489285029","112578.858994916","103260.585908078"
"2_2'-Iminodipropanoate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","166070.915017468","260980.252313281","280009.621429744","717535.475548236","251822.010612032","4260812.37075266","943180.714825298","341754.842402206","299817.389926204","1328641.70784668","383227.271365874","1100557.3806427","845694.596170516","1562107.68706845","1059772.68982884","5317044.89464014","11348762.4271184","10534274.3636793"
"2_5-Dihydroxybenzaldehyde","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","590055.495841833","659607.680055484","527251.870501695","2935776.33980595","2506055.18783857","2789774.04863424","1526275.25392701","1373012.3099478","1056025.6901936","2304162.59784491","1506779.3965732","3035044.86090849","6014564.60668229","7306344.94971125","3884457.00819174","760343.352439387","1239209.39240715","1338844.42000241"
"2_5_6-Trihydroxy-5_6-dihydroquinoline","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","912398.796905719","975201.439525878","983661.282387218","209732.710442583","495436.354051956","401458.864953274","115892.735212347","199221.76577893","396367.400009023","631985.624670861","554872.432605773","781360.627042536","173341.019234626","622383.590543634","156938.427546489","273659.277785209","295496.277133678","231287.173011085"
"2E_6E-farnesol","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","176400.705701678","181623.355030996","144798.340808087","408391.321534884","383304.976702412","536078.982279301","278108.855438292","162938.46477609","210905.811905434","360309.540180234","311792.608786703","532790.304250248","203954.418556211","492374.788649324","187291.464445945","89243.4525491262","101468.733070426","92725.5072971427"
"3-(1-Boc-4-piperidyl)-1-propanol","707679.32234759","290697.217953838","1105229.09231197","682525.658441078","32299.399747281","532120.38582417","1205499.62715995","721958.3386331","1140766.67181856","4683610.47324423","9795549.50416155","4966798.91639811","5124052.06279038","12044717.7033457","10445341.2429765","3116410.72838766","4333696.90980239","6207261.29090123","7080465.64874107","10314585.6651189","1971827.85919078","3257626.75315227","8774064.87616845","2469802.23853932","8216555.56065718","3142120.72509657","11684109.9865038","7477677.84377682","6588611.36521041","7085559.82240867","713336.412552647","2623240.33651874","898640.827886477","410438.531668136","307852.814109495","16734.4232069482","516711.13251301","127897.004645778","707248.260001072","5927433.86313412","8721896.04106697","6503779.49074629"
"3-(2-CHLOROETHYL)-2,4(1H,3H)-QUINAZOLINEDIONE","2255606.32957148","2257038.18513594","2465603.5121928","2186507.29884879","2534429.00771776","2706768.38317109","2408219.46515851","2552608.03947531","2706419.69428446","1460231.20654621","1380530.20696366","1437523.24137485","1532822.73903038","1531208.8231559","1443850.43829873","1028797.0030422","1006521.04499163","977706.267436685","322175.894079795","372900.889686988","390738.866583479","1656699.40756193","1690630.1876905","1807761.36401471","2229149.07553456","2413752.99935097","2002510.96375145","2155051.11325879","2130981.73028211","1971344.10561221","1825621.97944783","2062723.52879499","2222070.88320284","2322522.21487201","2201692.38199957","2493530.11773079","2247165.31959539","2203149.86609799","2179852.458702","1300477.80686189","1328334.57041854","1383165.87215147"
"3-[(3-Hydroxydecanoyl)oxy]decanoic acid","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","98048.4440980777","109031.846246123","59400.1304944927","228470.329953003","280865.24724412","405343.525840585","220546.370359145","198263.068094333","213197.044156036","225097.479103332","263619.466873174","254001.989612409","226360.235615254","245248.246417308","223009.855855175","112007.909879958","141157.105317417","111288.911161142"
"3-Amino-N-(3,4-dimethoxybenzyl)-6-methyl-4-(trifluoromethyl)-5,6,7,8-tetrahydrothieno[2,3-b]quinoline-2-carboxamide","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","937582.104479888","620925.613480778","728263.925406332","937300.24932349","886715.608705802","914655.913017716","880805.758414331","899258.846989788","942636.007336728","948456.404383366","376898.643319406","866346.303045775","954273.896924301","922623.831512997","902959.289857159","901296.957748177","289652.341156113","951528.964884596"
"3-Butyn-1-al","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","18151201.9753358","22137124.9171443","17992439.4774328","12142647.5309806","15682939.8990215","17130866.0096945","28120703.3687203","19884190.1594512","23368154.1659305","14211817.421508","19431262.5201472","20085058.4751591","9024606.23343718","13053569.2289304","7805729.17245701","6176077.97959231","5496798.2293406","6629096.76248553"
"3-Dehydrocarnitine","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","1772819.54891938","2121525.41244527","1293754.60173675","3131813.81258482","1518906.56160759","3642550.24435764","29169154.6399807","21587052.6683457","12322425.6965885","12016389.3312744","3335211.5264098","5918389.59417563","10513543.0906744","7782290.65267578","20398848.9004841","6621171.688219","5389634.89960538","5420032.49285581"
